2360013	2424056	2657633	2721681	122357
3941174	3999094	4103573	4161489	113315
3813088	3870751	3987544	4045204	112370
4816371	4866203	5134951	5184785	96161
89071	137950	80563	129438	94366
3376101	3419047	3442626	3485570	82646
2667607	2710120	2993305	3035842	80807
4093698	4133813	4260150	4300283	75945
4099094	4133813	4265567	4300283	65603
2506086	2539968	2782840	2816716	65555
4059776	4092765	4227061	4260064	62388
621372	653705	680992	713321	62402
3426225	3458451	3506547	3538766	62092
4983571	5014757	5290988	5322173	60084
4104729	4133813	4271200	4300283	55250
4029180	4058206	4196150	4225173	55030
4694221	4722308	4996941	5025023	53807
3616464	3644391	3723323	3751252	53779
2848402	2874235	3117926	3143755	49495
3432971	3458451	3513293	3538766	49182
4745825	4770536	5048674	5073391	47810
3096795	3121401	4478667	4503247	47184
3096825	3121401	4478672	4503247	47257
3195571	3219696	4730631	4754759	46923
1678636	1702180	1502573	1526120	45554
2600692	2624200	2929884	2953399	44844
862335	885385	961257	984307	44470
4006549	4028456	4174268	4196167	42548
4881398	4902931	5197650	5219192	41196
202998	223968	193309	214278	40909
3677757	3698673	3782817	3803730	39284
1844496	1865281	1710044	1730814	40159
2481373	2502069	2760818	2781517	39735
4166277	4185756	4322158	4341636	37105
3782979	3802198	3950662	3969876	37034
760412	779548	814396	833525	36752
4187397	4206514	4343355	4362465	36372
822225	840728	912114	930607	35627
139452	157796	130972	149302	34339
1646031	1664287	1427582	1445847	35206
4672655	4690870	4975305	4993530	34720
2809203	2827397	3078368	3096581	34435
4651454	4669431	4954141	4972113	34496
666807	684421	735877	753490	33843
4040786	4058206	4207761	4225173	32605
26933	43080	21945	38086	30574
3344808	3360758	3383251	3399195	30354
3266774	3282717	4406142	4422089	30833
42925	58866	37907	53848	30336
4816371	4832177	5134951	5150774	30524
1760919	1776550	1577985	1593618	30183
3655194	3670686	3763610	3779110	30298
2890243	2905478	3202314	3217551	29082
4135257	4150327	4300316	4315383	28444
3898271	3913270	4069031	4084040	29074
3723770	3738710	3892217	3907160	29153
2874181	2889044	3186411	3201286	28309
180213	195070	170225	185086	28151
180379	195070	170388	185086	27951
589769	604398	647780	662423	27339
3768527	3783140	3935815	3950421	28387
161485	176022	151383	165934	26234
3014345	3028755	3306666	3321068	26801
3360343	3374530	3398738	3412922	27524
3532876	3547040	3614490	3628654	27097
2829878	2843915	3099522	3113561	27115
3032814	3046762	3330732	3344682	26763
3046780	3060664	3353972	3367860	26073
1608041	1621741	1390028	1403713	26073
4983571	4997193	5290988	5304616	26400
1905429	1918964	1762442	1775978	25828
3124185	3137595	4506179	4519591	25612
3482797	3496150	3565689	3579048	25637
3754011	3767232	3922639	3935872	25055
4732659	4745842	5035516	5048703	25463
1943338	1956265	2153891	2166819	23889
2734665	2747437	3060961	3073724	24730
848752	861417	948618	961290	24043
2992969	3005613	3285325	3297964	23821
505696	518213	546463	558973	23316
3495910	3508426	3578974	3591477	23914
4800496	4812982	5118254	5130744	23811
2439352	2451668	2729881	2742203	23332
2655523	2667639	2981197	2993329	22966
2348354	2360324	2645958	2657926	22815
1944700	1956502	2297291	2309093	21239
1944700	1956502	2399512	2411314	21239
715272	727067	786571	798370	22879
3707559	3719266	3814294	3826002	22946
561496	573161	614006	625678	22733
803533	815061	895393	906926	21782
3458184	3469573	3538520	3549898	21491
4211259	4222432	4365793	4376961	21206
1724243	1735366	1537497	1548587	20487
3472189	3483309	3554692	3565815	21063
3644454	3655497	3752647	3763682	21210
1713435	1724411	1526562	1537528	20789
522104	532937	561465	572313	20354
4575719	4586508	4900082	4910873	20769
892409	903166	988965	999726	20293
4047525	4058206	4214494	4225173	20090
5530	15823	6922	17206	19886
666807	677080	735877	746151	19724
1663924	1674140	1491392	1501612	19358
3248547	3258760	4389394	4399606	19203
3293958	3304128	4431900	4442073	19661
3514664	3524822	3597573	3607729	19569
4868447	4878605	5187506	5197675	18706
573035	583095	632014	642072	19031
3282625	3292669	4422007	4432044	19363
1829919	1839942	1700135	1710162	18864
611672	621676	669948	679939	17696
1796189	1806146	1622215	1632164	18885
4559458	4569394	4890205	4900133	19482
1620579	1630459	1403092	1412971	19068
